Label,Latitude,Longitude,ID,Place Name,Place Type,Place Address
4,13.6228617,79.3892204,12aa72ed72e4deabe599cd4179e30ab1775bad0a,Sri Sathya Sai Medical Shop,drugstore,"Tummalagunta Main Road, L. S. Nagar, Lakshmi Srinivasa Nagar, Vidya Nagar Colony, Tirupati"
4,13.6228442,79.3891553,7397184235b08d5f472043dc60e6fca8f5e12bd6,Sri Sathya Sai Medicals,pharmacy,"Plot No.189, L.S. Nagar, Tirupati"
2,13.6338242,79.4202612,6dac148257e16778ddf069550e8c739475fc2c65,Sri Sneha Medicals,pharmacy,"No. 382-A, Dodda Puram Street, Tirupati"
17,13.6495934,79.431231,b004fef134eb1e4cd8ba6f1e6034b85b1cc02244,SRI SRINIVASA MEDICALS AND FANCY,pharmacy,"Rajiv Gandhi Colony, Tirupati"
12,13.6383587,79.4109194,208d10745ec0e772e110d97ccd558ef89df68805,Sri Vasanthi Medicals & Surgicals,pharmacy,"Room No.12, Municipal Complex, Opp. SVIMS Hospital, Alipiri Road, Tirupati"
17,13.651432,79.4299855,016d83ee7d01b850e3b1bd022298ab7c50c08c1e,Sri Vasavi Sai Pharmacy,pharmacy,"D.No: 8-405, Kranthi Nagar Dr. B.R. Ambedkar Colony, Jeevakona Road, Tirupati"
2,13.6336672,79.4205157,de2050730ba2d08b219bee114aeebe825345dbbe,Sri Venkatasai Homoeo Medical Stores,drugstore,"10-10-355 Jagannadhapuram Street Opp, Petrol Bunk, Tirupati"
1,13.6431079,79.4323462,b9ed4bda32716110d22af3e2a0a7edbf00eaca68,Sri Venkateswara Family Clinic,pharmacy,"1-47, Akkarampalli Road, Sriram Nagar, Tirupati"
5,13.6476468,79.4165336,a54814a6dad10b88bf1dd04c4db598b2ce390683,Srividhya Pharmacy,pharmacy,"6-7-543, HareKrishna Road, Vinayaka Nagar Haari, Tirupati"
2,13.6327421,79.4183367,3512c106369f0cd3c1629bccd1cf973ed01e24b9,Surya Medicals,drugstore,"170 A, Theerthakatta Street, Tirumala, Tirupati"
12,13.6389927,79.4184606,11b479e49afcbd1caaba68d4f77f168db31532aa,T.T. Medicals,pharmacy,"Nehru Nagar, Tirupati"
19,13.6223825,79.4179867,f0b60a253db7c5a92c3fb5de7e216a95c1d66450,Vaishnavi Pharmacy,pharmacy,"No- 19-8, D. R.C. 517501, 9, AIR Bypass Road, Bairagi patteda, Tirupati"
2,13.633889,79.420362,a018abcf9784a8df203af4354843764d89ac7f63,Vani Medicals,pharmacy,"397A, Dodda Puram Street, Tirupati"
12,13.6387334,79.4141223,d1d86f752c12cdc0435ffd173ddc85ef554a52c4,Vasavi Medicals,pharmacy,"opp old maternity hospital, Sarojini Devi Road, Tirupati"
11,13.64358,79.4233806,9a1eabc8398d8a8bad13b61b2ecab61e2ed82f05,Vinayaka Medical & Fancy,drugstore,"Door No.18, 1-90/7/A, Yashoda Nagar, Railway Colony, Tirupati"
16,13.6366547,79.4306307,29846b8a456606087a405b93dd70f788c522e9c0,Vinayaka Medicals,pharmacy,"Korlagunta, Korlagunta, Tirupati"
14,13.6178538,79.4091867,ccd4fc1f9e511acd2cf2aeca605875f23010883e,Vivek Medicals & Fancy,pharmacy,"2-178, M.R. Palli Road, Vasavi Nagar, T.T.D Plots, Tirupati"
18,13.618603,79.4334191,4cbccc6e3509f1e12fc2fd07720efa345b86fc3b,Yasodha Medical & Fancy,pharmacy,"4-40, Padmavathipuram, Tiruchanoor Road, Tirupati"
11,13.6420239,79.4292945,c9974870afc462c7d4c46d1431e9799ffa77748c,Yuvan Medicals & Fancy,pharmacy,"124/T, Akkarampalli Road, Tirupati"
